event_id,event_name,start_date,end_date,event_type,demand_impact,affected_segment,demand_multiplier,body_type_boost,notes
104,Year End Dealer Push,2023-12-01,2023-12-31,Economic,high,All,1.22,All,Dealers push targets — heavy discounting Dec
105,School Start Season,2023-08-15,2023-09-15,Seasonal,medium,Individual,1.15,"Sedan,Van",Aug-Sep families buy practical cars for school run
106,GCC Automotive Show,2023-03-10,2023-03-15,Industry,medium,All,1.2,All,Annual auto show drives showroom traffic
107,Qatar Founding Day,2023-02-22,2023-02-22,National,medium,Qatari,1.15,SUV,"Feb 22 — National pride, moderate buying activity"
108,Expat Salary Bonus Season,2023-12-20,2023-12-31,Economic,medium,Expat,1.18,"Sedan,Crossover",End of year bonuses — expat segment buys sedans/crossovers
109,Ramadan,2024-03-10,2024-04-09,Religious,high,All,1.35,SUV,"Pre-Ramadan 2 weeks = peak buying, during = slow"
110,Eid Al Fitr,2024-04-10,2024-04-13,Religious,high,All,1.45,SUV,"Family car upgrades, gift purchases spike"
111,Eid Al Adha,2024-06-18,2024-06-22,Religious,high,All,1.4,SUV,Second major buying spike of the year
112,Qatar National Day,2024-12-18,2024-12-19,National,high,Qatari,1.3,SUV,"Dec 18 — Patriotic sentiment, Qatari nationals most active"
113,Summer Slow Season,2024-06-01,2024-08-31,Seasonal,negative,Expat,0.62,None,"June-Aug expat exodus, 30-40% population leaves Qatar"
114,Winter Peak Season,2024-11-01,2024-02-28,Seasonal,high,All,1.28,"SUV,Pickup","Nov-Feb outdoor activity, 4WD demand peaks"
115,Government Budget Cycle,2024-10-01,2024-12-31,Economic,high,Government,1.55,SUV,Q4 government procurement — fleet orders surge
116,Year End Dealer Push,2024-12-01,2024-12-31,Economic,high,All,1.22,All,Dealers push targets — heavy discounting Dec
117,School Start Season,2024-08-15,2024-09-15,Seasonal,medium,Individual,1.15,"Sedan,Van",Aug-Sep families buy practical cars for school run
118,GCC Automotive Show,2024-03-10,2024-03-15,Industry,medium,All,1.2,All,Annual auto show drives showroom traffic
119,Qatar Founding Day,2024-02-22,2024-02-22,National,medium,Qatari,1.15,SUV,"Feb 22 — National pride, moderate buying activity"
120,Expat Salary Bonus Season,2024-12-20,2024-12-31,Economic,medium,Expat,1.18,"Sedan,Crossover",End of year bonuses — expat segment buys sedans/crossovers
121,Ramadan,2025-02-28,2025-03-30,Religious,high,All,1.35,SUV,"Pre-Ramadan 2 weeks = peak buying, during = slow"
122,Eid Al Fitr,2025-03-31,2025-04-03,Religious,high,All,1.45,SUV,"Family car upgrades, gift purchases spike"
123,Eid Al Adha,2025-06-08,2025-06-12,Religious,high,All,1.4,SUV,Second major buying spike of the year
124,Qatar National Day,2025-12-18,2025-12-19,National,high,Qatari,1.3,SUV,"Dec 18 — Patriotic sentiment, Qatari nationals most active"
125,Summer Slow Season,2025-06-01,2025-08-31,Seasonal,negative,Expat,0.62,None,"June-Aug expat exodus, 30-40% population leaves Qatar"
126,Winter Peak Season,2025-11-01,2025-02-28,Seasonal,high,All,1.28,"SUV,Pickup","Nov-Feb outdoor activity, 4WD demand peaks"
127,Government Budget Cycle,2025-10-01,2025-12-31,Economic,high,Government,1.55,SUV,Q4 government procurement — fleet orders surge
128,Year End Dealer Push,2025-12-01,2025-12-31,Economic,high,All,1.22,All,Dealers push targets — heavy discounting Dec
129,School Start Season,2025-08-15,2025-09-15,Seasonal,medium,Individual,1.15,"Sedan,Van",Aug-Sep families buy practical cars for school run
130,GCC Automotive Show,2025-03-10,2025-03-15,Industry,medium,All,1.2,All,Annual auto show drives showroom traffic
131,Qatar Founding Day,2025-02-22,2025-02-22,National,medium,Qatari,1.15,SUV,"Feb 22 — National pride, moderate buying activity"
132,Expat Salary Bonus Season,2025-12-20,2025-12-31,Economic,medium,Expat,1.18,"Sedan,Crossover",End of year bonuses — expat segment buys sedans/crossovers
133,Ramadan,2026-02-17,2026-03-19,Religious,high,All,1.35,SUV,"Pre-Ramadan 2 weeks = peak buying, during = slow"
134,Eid Al Fitr,2026-03-20,2026-03-23,Religious,high,All,1.45,SUV,"Family car upgrades, gift purchases spike"
135,Eid Al Adha,2026-05-28,2026-06-01,Religious,high,All,1.4,SUV,Second major buying spike of the year
136,Qatar National Day,2026-12-18,2026-12-19,National,high,Qatari,1.3,SUV,"Dec 18 — Patriotic sentiment, Qatari nationals most active"
137,Summer Slow Season,2026-06-01,2026-08-31,Seasonal,negative,Expat,0.62,None,"June-Aug expat exodus, 30-40% population leaves Qatar"
138,Winter Peak Season,2026-11-01,2026-02-28,Seasonal,high,All,1.28,"SUV,Pickup","Nov-Feb outdoor activity, 4WD demand peaks"
139,Government Budget Cycle,2026-10-01,2026-12-31,Economic,high,Government,1.55,SUV,Q4 government procurement — fleet orders surge
140,Year End Dealer Push,2026-12-01,2026-12-31,Economic,high,All,1.22,All,Dealers push targets — heavy discounting Dec
141,School Start Season,2026-08-15,2026-09-15,Seasonal,medium,Individual,1.15,"Sedan,Van",Aug-Sep families buy practical cars for school run
142,GCC Automotive Show,2026-03-10,2026-03-15,Industry,medium,All,1.2,All,Annual auto show drives showroom traffic
143,Qatar Founding Day,2026-02-22,2026-02-22,National,medium,Qatari,1.15,SUV,"Feb 22 — National pride, moderate buying activity"
144,Expat Salary Bonus Season,2026-12-20,2026-12-31,Economic,medium,Expat,1.18,"Sedan,Crossover",End of year bonuses — expat segment buys sedans/crossovers
145,Ramadan,2027-02-07,2027-03-08,Religious,high,All,1.35,SUV,"Pre-Ramadan 2 weeks = peak buying, during = slow"
146,Eid Al Fitr,2027-03-09,2027-03-12,Religious,high,All,1.45,SUV,"Family car upgrades, gift purchases spike"
147,Eid Al Adha,2027-05-17,2027-05-21,Religious,high,All,1.4,SUV,Second major buying spike of the year
148,Qatar National Day,2027-12-18,2027-12-19,National,high,Qatari,1.3,SUV,"Dec 18 — Patriotic sentiment, Qatari nationals most active"
149,Summer Slow Season,2027-06-01,2027-08-31,Seasonal,negative,Expat,0.62,None,"June-Aug expat exodus, 30-40% population leaves Qatar"
150,Winter Peak Season,2027-11-01,2027-02-28,Seasonal,high,All,1.28,"SUV,Pickup","Nov-Feb outdoor activity, 4WD demand peaks"
151,Government Budget Cycle,2027-10-01,2027-12-31,Economic,high,Government,1.55,SUV,Q4 government procurement — fleet orders surge
152,Year End Dealer Push,2027-12-01,2027-12-31,Economic,high,All,1.22,All,Dealers push targets — heavy discounting Dec
153,School Start Season,2027-08-15,2027-09-15,Seasonal,medium,Individual,1.15,"Sedan,Van",Aug-Sep families buy practical cars for school run
154,GCC Automotive Show,2027-03-10,2027-03-15,Industry,medium,All,1.2,All,Annual auto show drives showroom traffic
155,Qatar Founding Day,2027-02-22,2027-02-22,National,medium,Qatari,1.15,SUV,"Feb 22 — National pride, moderate buying activity"
156,Expat Salary Bonus Season,2027-12-20,2027-12-31,Economic,medium,Expat,1.18,"Sedan,Crossover",End of year bonuses — expat segment buys sedans/crossovers
157,Ramadan,2028-01-27,2028-02-25,Religious,high,All,1.35,SUV,"Pre-Ramadan 2 weeks = peak buying, during = slow"
158,Eid Al Fitr,2028-02-26,2028-02-29,Religious,high,All,1.45,SUV,"Family car upgrades, gift purchases spike"
159,Eid Al Adha,2028-05-05,2028-05-09,Religious,high,All,1.4,SUV,Second major buying spike of the year
160,Qatar National Day,2028-12-18,2028-12-19,National,high,Qatari,1.3,SUV,"Dec 18 — Patriotic sentiment, Qatari nationals most active"
161,Summer Slow Season,2028-06-01,2028-08-31,Seasonal,negative,Expat,0.62,None,"June-Aug expat exodus, 30-40% population leaves Qatar"
162,Winter Peak Season,2028-11-01,2028-02-28,Seasonal,high,All,1.28,"SUV,Pickup","Nov-Feb outdoor activity, 4WD demand peaks"
163,Government Budget Cycle,2028-10-01,2028-12-31,Economic,high,Government,1.55,SUV,Q4 government procurement — fleet orders surge
164,Year End Dealer Push,2028-12-01,2028-12-31,Economic,high,All,1.22,All,Dealers push targets — heavy discounting Dec
165,School Start Season,2028-08-15,2028-09-15,Seasonal,medium,Individual,1.15,"Sedan,Van",Aug-Sep families buy practical cars for school run
166,GCC Automotive Show,2028-03-10,2028-03-15,Industry,medium,All,1.2,All,Annual auto show drives showroom traffic
167,Qatar Founding Day,2028-02-22,2028-02-22,National,medium,Qatari,1.15,SUV,"Feb 22 — National pride, moderate buying activity"
168,Expat Salary Bonus Season,2028-12-20,2028-12-31,Economic,medium,Expat,1.18,"Sedan,Crossover",End of year bonuses — expat segment buys sedans/crossovers
169,Ramadan,2029-01-15,2029-02-13,Religious,high,All,1.35,SUV,"Pre-Ramadan 2 weeks = peak buying, during = slow"
170,Eid Al Fitr,2029-02-14,2029-02-17,Religious,high,All,1.45,SUV,"Family car upgrades, gift purchases spike"
171,Eid Al Adha,2029-04-24,2029-04-28,Religious,high,All,1.4,SUV,Second major buying spike of the year
172,Qatar National Day,2029-12-18,2029-12-19,National,high,Qatari,1.3,SUV,"Dec 18 — Patriotic sentiment, Qatari nationals most active"
173,Summer Slow Season,2029-06-01,2029-08-31,Seasonal,negative,Expat,0.62,None,"June-Aug expat exodus, 30-40% population leaves Qatar"
174,Winter Peak Season,2029-11-01,2029-02-28,Seasonal,high,All,1.28,"SUV,Pickup","Nov-Feb outdoor activity, 4WD demand peaks"
175,Government Budget Cycle,2029-10-01,2029-12-31,Economic,high,Government,1.55,SUV,Q4 government procurement — fleet orders surge
176,Year End Dealer Push,2029-12-01,2029-12-31,Economic,high,All,1.22,All,Dealers push targets — heavy discounting Dec
177,School Start Season,2029-08-15,2029-09-15,Seasonal,medium,Individual,1.15,"Sedan,Van",Aug-Sep families buy practical cars for school run
178,GCC Automotive Show,2029-03-10,2029-03-15,Industry,medium,All,1.2,All,Annual auto show drives showroom traffic
179,Qatar Founding Day,2029-02-22,2029-02-22,National,medium,Qatari,1.15,SUV,"Feb 22 — National pride, moderate buying activity"
180,Expat Salary Bonus Season,2029-12-20,2029-12-31,Economic,medium,Expat,1.18,"Sedan,Crossover",End of year bonuses — expat segment buys sedans/crossovers
181,Ramadan,2030-01-05,2030-02-03,Religious,high,All,1.35,SUV,"Pre-Ramadan 2 weeks = peak buying, during = slow"
182,Eid Al Fitr,2030-02-04,2030-02-07,Religious,high,All,1.45,SUV,"Family car upgrades, gift purchases spike"
183,Eid Al Adha,2030-04-14,2030-04-18,Religious,high,All,1.4,SUV,Second major buying spike of the year
184,Qatar National Day,2030-12-18,2030-12-19,National,high,Qatari,1.3,SUV,"Dec 18 — Patriotic sentiment, Qatari nationals most active"
185,Summer Slow Season,2030-06-01,2030-08-31,Seasonal,negative,Expat,0.62,None,"June-Aug expat exodus, 30-40% population leaves Qatar"
186,Winter Peak Season,2030-11-01,2030-02-28,Seasonal,high,All,1.28,"SUV,Pickup","Nov-Feb outdoor activity, 4WD demand peaks"
187,Government Budget Cycle,2030-10-01,2030-12-31,Economic,high,Government,1.55,SUV,Q4 government procurement — fleet orders surge
188,Year End Dealer Push,2030-12-01,2030-12-31,Economic,high,All,1.22,All,Dealers push targets — heavy discounting Dec
189,School Start Season,2030-08-15,2030-09-15,Seasonal,medium,Individual,1.15,"Sedan,Van",Aug-Sep families buy practical cars for school run
190,GCC Automotive Show,2030-03-10,2030-03-15,Industry,medium,All,1.2,All,Annual auto show drives showroom traffic
191,Qatar Founding Day,2030-02-22,2030-02-22,National,medium,Qatari,1.15,SUV,"Feb 22 — National pride, moderate buying activity"
192,Expat Salary Bonus Season,2030-12-20,2030-12-31,Economic,medium,Expat,1.18,"Sedan,Crossover",End of year bonuses — expat segment buys sedans/crossovers
